rank,country,HDI,lifeExpectancy,schoolingExpected,schoolingMean,GNIPerCapita,GNIRankMinusHDIRank,HDIRank,continent
116,Samoa,0.702,72.6,12.4,11.4,"4,970",25,112,Oceania
102,Marshall Islands,0.731,65.1,16.4,12.8,"6,855",28,101,Oceania
117,Kyrgyzstan,0.701,70.5,13,12,"4,782",28,116,Asia
98,Tonga,0.739,71.3,16.3,10.9,"6,360",34,95,Oceania
85,Cuba,0.764,78.2,14.5,10.5,"7,953",40,92,North America
,Arab States,0.704,71.3,11.9,7.8,"14,391",N/A,N/A,N/A
,East Asia and the Pacific,0.766,76.2,14.5,8.2,"16,138",N/A,N/A,N/A
,Europe and Central Asia,0.802,73.6,15.5,10.6,"19,763",N/A,N/A,N/A
,Latin America and the Caribbean,0.763,73.7,14.8,9,"15,109",N/A,N/A,N/A
,South Asia,0.641,68.4,11.9,6.6,"6,972",N/A,N/A,N/A
,Sub-Saharan Africa,0.549,60.6,10.3,6,"3,666",N/A,N/A,N/A
,World,0.739,72,13,8.7,"17,254",N/A,N/A,N/A
